name,game,banner
BS HyperS,CS2,cs2-2
BS PepeDS,CS2,cs2-3
BS HyperS,CSGO,csgo-3
BS Revenge,CSGO,csgo-1
Geoguessr,GEOGUESSR,geoguessr-1
BS Fristi Fighters,LEAGUE_OF_LEGENDS,lol-2
BS Housecats,LEAGUE_OF_LEGENDS,lol-3
BS Pandora,LEAGUE_OF_LEGENDS,lol-4
BS Primus,LEAGUE_OF_LEGENDS,lol-5
BS Roestige Ridders,LEAGUE_OF_LEGENDS,lol-6
BS Scaling,LEAGUE_OF_LEGENDS,lol-7
BS Street Rats,LEAGUE_OF_LEGENDS,lol-8
Blueshell Goombastompers,LEAGUE_OF_LEGENDS,lol-1
BS Oogway,ROCKET_LEAGUE,rocket-league-2
BS Squirtles,ROCKET_LEAGUE,rocket-league-3
BS Tadpole,ROCKET_LEAGUE,rocket-league-1
BS Turtles,ROCKET_LEAGUE,rocket-league-2
Blueshell Tortoises,ROCKET_LEAGUE,rocket-league-3
Smash,SMASH,smash-2
[ESABS],TRACKMANIA,trackmania-2
BS G.G.C. Yaptown,VALORANT,valorant-1
BS Huge,VALORANT,valorant-2
BS IcyWater,VALORANT,valorant-3
BS SpicyWater,VALORANT,valorant-4
BS Tempra,VALORANT,valorant-5
BS Valorant,VALORANT,valorant-6
BS Waterboarders,VALORANT,valorant-7
