source_id,title,committee,location,start_time,end_time,members_only,sign_up,description,art
108205,Ye Olde Quest for the Eleven Ales,Member's initiative,Witbreuksweg 401B,2026-10-03T12:00:00Z,2026-10-03T21:59:00Z,true,true,"Hear ye, hear ye

On this eighteenth day of September, ye are most cordially invited to leave thy hearths and ride forth alongside thy fellow members, in a most splendid chance to strengthen the bonds of our noble Association.

A Quest awaits thee: a journey betwixt eleven abodes belonging to some of the finest souls Blueshell hath to offer. At each stop, fair ales and sundry libations shall be enjoyed; and for the young, the infirm, and those who favour a clearer head, draughts free of spirits shall likewise be provided. A map of our route hath been prepared, lest any brave rider lose their way.

Our company shall travel by means of the trusty two-wheeled pedal machine. Should thou lack such a steed, summon The Old Man (on discord), that suitable arrangements may be made and thy place upon this Quest secured.

Along the way, ye shall undertake a challenge designed to bring thee closer to thy companions. Whosoever completes their full list of tasks before the Quest’s end shall be rewarded accordingly.

Once the official programme hath concluded, our merry band shall find itself in the heart of fair Enschede, where the revelry shall continue well into the evening.

With kindest regards,
The Old Man  and the esteemed members of @TourCie

tldr;
What: Beer Tour across houses of members
Where: All across enschede starting Witbreuksweg 401B
When: October 3rd 14:00-late
Why: Cuz it'll be fun
Cost: 20 euros (11 fine ales be spensive ;-;) 5 euros alcohol free
**Sign ups required! **",
108206,Closing Gamenight,Member's initiative,Esports Lounge Twente,2026-09-25T17:00:00Z,2026-09-25T20:00:00Z,false,false,"Come by for a fun evening filled with tons of games and activities! 🎮 Always wanted to try out sim racing? 🏎️ Now’s your chance! Or maybe you’ve always wanted to try out a shooter? Jump in and see if you’ve got what it takes 🎯

We’ll have Jackbox, Mario Kart, Smash, sim racing and tons of other games waiting for you! Whether you’re here to sweat, chill, or accidentally ruin some friendships, there’s something for everyone 💀

This will be the last open activity of the Kick-Off, so grab your friends and tag them along for one final night of gaming! 💙

📅 25th of September
⏰ 19:00–22:00
📍 Esports Lounge Twente",
108199,Pokemon Customs,NintenCo,Esports Lounge Twente,2026-09-23T17:00:00Z,2026-09-23T20:00:00Z,false,false,"Gotta win them all and play in the Nintenco Pokemon Tournament! Get your hands on a team for Pokémon champions regulation m-c after the current regulation ends. Pokemon champions is available on phone or switch and both can be used. The tournament will be in lounge but you can join online if you cant make it there. We will play 4 swiss rounds of best of three so you will play the whole way.
If you need help with obtaining Pokémon for your team let @jidoubledash - Ivo know or ask in the ⁠pokemon channel.
See you there trainer!",
108200,4Funcie Pooling,4FunCie,Snooker & Poolcentrum Enschede,2026-09-22T17:00:00Z,2026-09-22T20:00:00Z,false,true,"Ever sent an 8 Ball invite on iMessage and got left on read? Just me? Anyway, Turns out playing with balls in person is a lot more fun.

Join 4funcie for an evening of Pool at Snooker & Poolcentrum Enschede! Come rack up, chalk up, and pretend you meant to hit that shot. Whether you're lining up trick shots, sinking the 8-ball on the break by accident, or just standing around with a drink and commentary, everyone is welcome.

No pool skills required. If you can hold a stick and vaguely aim it forward, you're qualified.
This event has a maximum capacity of 24 people, so make sure to sign up fast!

Date: 22nd of September, 19:00-22:00
Location: Snooker & Poolcentrum Enschede
Price: €9,50
Payment link: https://www.ing.nl/payreq/m/?trxid=uOTvhPEsHAE7Y1aKHgLmMXZh1Rq4cPNd",
108211,Scouting grounds other games,Member's initiative,Esports Lounge Twente,2026-09-20T15:00:00Z,2026-09-20T19:00:00Z,false,false,"We are excited to announce the Scouting Grounds in collaboration with Esports Team Twente!
The Scouting Grounds is THE opportunity to join a team for your favourite esports title.
Are you a pro gamer or do you not even have hands? It does not matter, we want you either way! We accommodate any skill level. 
Are you looking to improve or to just have fun? We have both casual and competitive teams! 
So whether you want to show off your skills or just to have fun, join us at the Scouting Grounds to find the right team for you!
Sign up now and join the Scouting Grounds discord to claim your spot!

Other games are from 17:00 till 21:00 on september 20th

If you have any questions about the Scouting Grounds or our teams, feel free to ask them in the Scouting Grounds discord or DM @LordPilloq - Harm.",
108210,Scouting grounds League of Legends,Member's initiative,Esports Lounge Twente,2026-09-20T10:00:00Z,2026-09-20T15:00:00Z,false,false,"We are excited to announce the Scouting Grounds in collaboration with Esports Team Twente!
The Scouting Grounds is THE opportunity to join a team for your favourite esports title.
Are you a pro gamer or do you not even have hands? It does not matter, we want you either way! We accommodate any skill level. 
Are you looking to improve or to just have fun? We have both casual and competitive teams! 
So whether you want to show off your skills or just to have fun, join us at the Scouting Grounds to find the right team for you!
Sign up now and join the Scouting Grounds discord to claim your spot!

League of Legends is from 12:00 till 17:00 on september 20th

For LoL we compete against other university teams in the Dutch College Esports Series. The DCES has two splits per year, with weekly matches leading up to the playoffs.

If you have any questions about the Scouting Grounds or our teams, feel free to ask them in the Scouting Grounds discord or DM @LordPilloq - Harm.",
108209,Scouting grounds Valorant,Member's initiative,Esports Lounge Twente,2026-09-19T15:00:00Z,2026-09-19T19:00:00Z,false,false,"We are excited to announce the Scouting Grounds in collaboration with Esports Team Twente!
The Scouting Grounds is THE opportunity to join a team for your favourite esports title.
Are you a pro gamer or do you not even have hands? It does not matter, we want you either way! We accommodate any skill level. 
Are you looking to improve or to just have fun? We have both casual and competitive teams! 
So whether you want to show off your skills or just to have fun, join us at the Scouting Grounds to find the right team for you!
Sign up now and join the Scouting Grounds discord to claim your spot!

Valorant is from 17:00 till 21:00 on september 19th

For Valorant we compete against other university teams in the Dutch College Esports Series. The DCES has two splits per year, with weekly matches leading up to the playoffs.

If you have any questions about the Scouting Grounds or our teams, feel free to ask them in the Scouting Grounds discord or DM @LordPilloq - Harm.",
108208,Scouting grounds Counter Strike 2,Member's initiative,Esports Lounge Twente,2026-09-19T10:00:00Z,2026-09-19T15:00:00Z,false,false,"We are excited to announce the Scouting Grounds in collaboration with Esports Team Twente!
The Scouting Grounds is THE opportunity to join a team for your favourite esports title.
Are you a pro gamer or do you not even have hands? It does not matter, we want you either way! We accommodate any skill level. 
Are you looking to improve or to just have fun? We have both casual and competitive teams! 
So whether you want to show off your skills or just to have fun, join us at the Scouting Grounds to find the right team for you!
Sign up now and join the Scouting Grounds discord to claim your spot!

Counter Strike 2 is from 12:00 till 17:00 on september 19th

For CS2 we compete against other university teams in the Dutch College Esports Series. The DCES has two splits per year, with weekly matches leading up to the playoffs.

If you have any questions about the Scouting Grounds or our teams, feel free to ask them in the Scouting Grounds discord or DM @LordPilloq - Harm.",
108207,Scouting grounds Rocket League,Member's initiative,Esports Lounge Twente,2026-09-18T17:00:00Z,2026-09-18T20:00:00Z,false,false,"We are excited to announce the Scouting Grounds in collaboration with Esports Team Twente!
The Scouting Grounds is THE opportunity to join a team for your favourite esports title.
Are you a pro gamer or do you not even have hands? It does not matter, we want you either way! We accommodate any skill level. 
Are you looking to improve or to just have fun? We have both casual and competitive teams! 
So whether you want to show off your skills or just to have fun, join us at the Scouting Grounds to find the right team for you!
Sign up now and join the Scouting Grounds discord to claim your spot!

Rocket League  is from 19:00 till 22:00 on september 18th

For Rocket League we compete against other university teams in the Dutch College Esports Series. The DCES has two splits per year, with weekly matches leading up to the playoffs.

If you have any questions about the Scouting Grounds or our teams, feel free to ask them in the Scouting Grounds discord or DM @LordPilloq - Harm.",
108198,MCie Building Game,MCie,Discord,2026-09-17T18:00:00Z,2026-09-17T20:00:00Z,false,false,"Time to get building! Jump into our Minecraft Building Game and let your creativity run wild with our own fun and custom-made categories. Grab your blocks, think outside the box, and see what awesome (or completely chaotic) creations you can come up with! Whether you’re a master builder or just love messing around with blocks, come join the fun and show us what you’ve got!

Date: September 17th 
Time: 20:00 
Where: Blueshell Discord 
IP: 193.123.34.253",
